area_type,availability,location,size,society,total_sqft,bath,balcony,price
3,0.0,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07
2,1.0,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0
0,1.0,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0
3,1.0,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0
3,1.0,Kothanur,2 BHK,,1200,2.0,1.0,51.0
3,1.0,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0
3,0.0,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0
3,1.0,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0
3,1.0,Marathahalli,3 BHK,,1310,3.0,1.0,63.25
2,1.0,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0
3,0.0,Whitefield,3 BHK,,1800,2.0,2.0,70.0
2,1.0,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0
3,1.0,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0
0,1.0,Gottigere,2 BHK,,1100,2.0,2.0,40.0
2,1.0,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0
3,1.0,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5
3,1.0,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0
3,1.0,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0
3,1.0,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0
3,1.0,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0
0,1.0,Kengeri,1 BHK,,600,1.0,1.0,15.0
3,0.0,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0
2,1.0,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0
3,1.0,Bellandur,3 BHK,,1767,3.0,1.0,103.0
3,0.0, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25
3,0.0,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0
3,1.0,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1
0,0.0,Whitefield,3 BHK,,1610,3.0,2.0,81.0
3,0.0,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77
3,1.0,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0
3,0.0,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0
3,1.0,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0
3,1.0,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0
3,1.0,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39
0,1.0,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0
3,0.0,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0
3,1.0,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5
3,1.0,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0
3,1.0,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12
0,1.0,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0
0,1.0,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0
3,0.0,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0
3,1.0,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0
2,1.0,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0
3,0.0,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79
2,1.0,HSR Layout,8 Bedroom,,600,9.0,,200.0
3,1.0,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0
3,0.0,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82
2,1.0,KR Puram,2 Bedroom,,800,1.0,1.0,130.0
0,1.0,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0
3,1.0,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0
3,0.0,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0
0,1.0,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0
3,1.0,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0
3,1.0,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0
3,1.0,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0
0,0.0,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192.0
3,1.0,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0
2,1.0,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0
3,1.0,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0
2,1.0,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0
3,1.0,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0
2,1.0,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0
0,1.0,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0
0,1.0,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0
3,1.0,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0
3,0.0,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0
3,1.0,Marathahalli,2 BHK,,1220,2.0,1.0,57.0
2,1.0,Devarachikkanahalli,8 Bedroom,,1350,7.0,0.0,85.0
3,1.0,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68
2,1.0,Double Road,3 Bedroom,,500,3.0,2.0,100.0
3,0.0,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58
3,1.0,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0
3,0.0,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0
3,1.0,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0
3,1.0,Kothannur,2 BHK,,1206,2.0,1.0,48.23
3,1.0,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0
0,1.0,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0
0,1.0,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0
0,1.0,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0
3,1.0,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0
0,0.0,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,,224.5
3,0.0,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0
3,1.0,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8
3,1.0,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0
0,1.0,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0
