Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
800.0,3,2.0,2,1.0,6500000,1,2,1
750.0,2,2.0,2,1.0,5000000,1,2,2
950.0,2,2.0,3,1.0,15500000,1,1,2
600.0,2,2.0,2,1.0,4200000,1,1,1
650.0,2,2.0,2,1.0,6200000,1,2,1
1300.0,4,3.0,2,1.0,15500000,1,2,1
1350.0,4,3.0,2,1.0,10000000,1,1,1
650.0,2,2.0,2,1.0,4000000,1,2,2
985.0,3,3.0,1,1.0,6800000,2,2,1
1300.0,4,4.0,2,1.0,15000000,1,2,1
1100.0,3,2.0,2,1.0,6200000,1,2,1
870.0,3,2.0,2,1.0,7700000,1,2,1
630.0,2,2.0,2,1.0,5500000,1,2,1
660.0,2,2.0,2,1.0,5000000,1,1,1
344.4448,2,2.0,2,1.0,3310000,1,1,1
660.0,2,2.0,2,1.0,4700000,1,2,1
550.0,2,2.0,2,1.0,4500000,1,2,1
1100.0,4,3.0,2,1.0,17000000,1,2,1
1150.0,3,3.0,2,1.0,25000000,1,1,2
650.0,2,2.0,2,1.0,6000000,1,1,1
850.0,2,2.0,2,1.0,11000000,1,1,2
900.0,3,2.0,2,4.0,4500000,1,1,1
430.556,1,1.0,3,2.0,5300000,1,1,2
900.0,2,2.0,2,1.0,10500000,1,1,2
914.9315,2,2.0,2,1.0,12000000,1,1,1
1100.0,3,3.0,3,1.0,7000000,1,2,1
800.0,3,2.0,2,1.0,7000000,1,1,1
500.0,1,1.0,2,1.0,3400000,1,1,2
28.0,2,2.0,3,1.0,5000000,1,2,2
2160.0,4,4.0,3,1.0,21000000,1,2,1
1500.0,1,2.0,1,0.0,13500000,1,1,2
800.0,2,2.0,1,1.0,15000000,1,2,1
900.0,2,2.0,1,1.0,10500000,1,2,1
1080.0,3,2.0,2,1.0,22500000,1,2,1
750.0,2,2.0,1,1.0,13600000,1,2,1
1450.0,3,3.0,2,2.0,30000000,1,2,1
900.0,2,2.0,2,1.0,13500000,1,2,2
810.0,2,2.0,2,1.0,8910000,1,1,1
1350.0,3,4.0,1,1.0,25000000,1,1,2
1710.0,3,3.0,2,4.0,26000000,1,2,1
1650.0,3,3.0,2,1.0,30000000,1,1,1
1280.0,2,2.0,3,1.0,12500000,1,1,1
1260.0,3,3.0,2,1.0,21000000,1,1,1
1130.0,2,2.0,1,1.0,7800000,1,1,1
600.0,2,2.0,2,1.0,11500000,1,2,1
850.0,2,2.0,2,1.0,11500000,1,1,1
1500.0,3,3.0,2,2.0,26000000,1,2,1
900.0,2,2.0,2,2.0,13000000,1,2,1
1000.0,3,3.0,2,1.0,22000000,1,2,1
900.0,2,2.0,2,1.0,15800000,1,2,1
2925.0,4,4.0,1,2.0,57500000,1,2,1
900.0,2,2.0,1,2.0,10000000,1,1,1
1600.0,3,3.0,1,2.0,30000000,1,2,1
1143.0,3,3.0,1,2.0,22000000,1,2,1
1150.0,3,3.0,2,2.0,24000000,1,2,1
1500.0,3,3.0,2,1.0,31500000,1,1,1
850.0,2,2.0,2,1.0,14600000,1,1,1
8000.0,4,5.0,2,1.0,240000000,1,2,1
890.0,2,2.0,2,1.0,8300000,1,1,1
